timestamp,memory_usage_gb,unit
2024-04-15 15:12:14,4.975,GB
2024-04-15 15:12:18,4.996,GB
2024-04-15 15:12:21,5.0,GB
2024-04-15 15:12:25,4.989,GB
2024-04-15 15:12:29,5.003,GB
2024-04-15 15:12:33,5.025,GB
2024-04-15 15:12:37,5.03,GB
2024-04-15 15:12:40,4.995,GB
2024-04-15 15:12:44,5.004,GB
2024-04-15 15:12:48,5.024,GB
2024-04-15 15:12:52,5.043,GB
2024-04-15 15:12:55,5.028,GB
2024-04-15 15:12:59,5.067,GB
2024-04-15 15:13:03,5.111,GB
2024-04-15 15:13:07,5.175,GB
2024-04-15 15:13:10,5.181,GB
2024-04-15 15:13:14,5.184,GB
2024-04-15 15:13:18,5.189,GB
2024-04-15 15:13:21,5.192,GB
2024-04-15 15:13:25,5.2,GB
2024-04-15 15:13:29,5.203,GB
2024-04-15 15:13:32,5.206,GB
2024-04-15 15:13:36,5.209,GB
2024-04-15 15:13:40,5.113,GB
2024-04-15 15:13:44,5.159,GB
2024-04-15 15:13:47,5.241,GB
2024-04-15 15:13:51,5.245,GB
2024-04-15 15:13:55,5.25,GB
2024-04-15 15:13:59,5.255,GB
2024-04-15 15:14:02,5.258,GB
2024-04-15 15:14:06,5.266,GB
2024-04-15 15:14:10,5.269,GB
2024-04-15 15:14:13,5.272,GB
2024-04-15 15:14:17,5.275,GB
2024-04-15 15:14:21,5.139,GB
2024-04-15 15:14:25,5.139,GB
2024-04-15 15:14:28,5.141,GB
2024-04-15 15:14:32,5.165,GB
2024-04-15 15:14:36,5.175,GB
2024-04-15 15:14:40,5.187,GB
2024-04-15 15:14:43,5.245,GB
2024-04-15 15:14:47,5.317,GB
2024-04-15 15:14:51,5.389,GB
2024-04-15 15:14:55,5.46,GB
2024-04-15 15:14:59,5.532,GB
2024-04-15 15:15:02,5.6,GB
2024-04-15 15:15:06,5.67,GB
2024-04-15 15:15:10,5.74,GB
2024-04-15 15:15:14,5.808,GB
2024-04-15 15:15:17,5.872,GB
2024-04-15 15:15:21,5.941,GB
2024-04-15 15:15:25,6.007,GB
2024-04-15 15:15:29,6.077,GB
2024-04-15 15:15:32,6.145,GB
2024-04-15 15:15:36,6.212,GB
2024-04-15 15:15:40,6.28,GB
2024-04-15 15:15:44,6.347,GB
2024-04-15 15:15:47,6.416,GB
2024-04-15 15:15:51,6.485,GB
2024-04-15 15:15:55,6.553,GB
2024-04-15 15:15:59,6.621,GB
2024-04-15 15:16:02,6.688,GB
2024-04-15 15:16:06,6.755,GB
2024-04-15 15:16:10,6.823,GB
2024-04-15 15:16:14,6.89,GB
2024-04-15 15:16:17,6.958,GB
2024-04-15 15:16:21,7.023,GB
2024-04-15 15:16:25,7.092,GB
2024-04-15 15:16:28,7.158,GB
2024-04-15 15:16:32,7.224,GB
2024-04-15 15:16:36,7.291,GB
2024-04-15 15:16:40,7.356,GB
2024-04-15 15:16:43,7.422,GB
2024-04-15 15:16:47,7.489,GB
2024-04-15 15:16:51,7.556,GB
2024-04-15 15:16:55,7.622,GB
2024-04-15 15:16:58,7.687,GB
2024-04-15 15:17:02,7.754,GB
2024-04-15 15:17:06,7.824,GB
2024-04-15 15:17:10,7.891,GB
2024-04-15 15:17:13,7.957,GB
2024-04-15 15:17:17,8.023,GB
2024-04-15 15:17:21,8.088,GB
2024-04-15 15:17:24,8.155,GB
2024-04-15 15:17:28,8.222,GB
2024-04-15 15:17:32,8.287,GB
2024-04-15 15:17:36,8.354,GB
2024-04-15 15:17:39,8.419,GB
2024-04-15 15:17:43,8.483,GB
2024-04-15 15:17:47,8.55,GB
2024-04-15 15:17:51,8.615,GB
2024-04-15 15:17:54,8.679,GB
2024-04-15 15:17:58,8.759,GB
2024-04-15 15:18:03,8.934,GB
2024-04-15 15:18:09,9.337,GB
2024-04-15 15:18:17,9.64,GB
2024-04-15 15:18:24,9.793,GB
2024-04-15 15:18:31,9.948,GB
