timestamp,memory_usage_gb,unit
2024-04-02 10:59:03,0.013,GB
2024-04-02 10:59:04,0.013,GB
2024-04-02 10:59:05,0.013,GB
2024-04-02 10:59:06,0.013,GB
2024-04-02 10:59:07,0.013,GB
2024-04-02 10:59:08,0.013,GB
2024-04-02 10:59:09,0.013,GB
2024-04-02 10:59:10,0.013,GB
2024-04-02 10:59:11,0.013,GB
2024-04-02 10:59:12,0.013,GB
2024-04-02 10:59:13,0.013,GB
2024-04-02 10:59:14,0.013,GB
2024-04-02 10:59:16,0.013,GB
2024-04-02 10:59:17,0.07,GB
2024-04-02 10:59:18,0.14,GB
2024-04-02 10:59:19,0.639,GB
2024-04-02 10:59:20,1.187,GB
2024-04-02 10:59:21,1.807,GB
2024-04-02 10:59:22,1.812,GB
2024-04-02 10:59:23,1.819,GB
2024-04-02 10:59:24,1.824,GB
2024-04-02 10:59:26,1.831,GB
2024-04-02 10:59:27,1.848,GB
2024-04-02 10:59:28,1.85,GB
2024-04-02 10:59:29,1.85,GB
2024-04-02 10:59:30,1.851,GB
2024-04-02 10:59:31,1.835,GB
2024-04-02 10:59:32,1.835,GB
2024-04-02 10:59:33,1.839,GB
2024-04-02 10:59:34,1.844,GB
2024-04-02 10:59:35,1.849,GB
2024-04-02 10:59:36,1.854,GB
2024-04-02 10:59:37,1.858,GB
2024-04-02 10:59:39,1.88,GB
2024-04-02 10:59:40,1.881,GB
2024-04-02 10:59:41,1.883,GB
2024-04-02 10:59:42,1.883,GB
2024-04-02 10:59:43,1.885,GB
2024-04-02 10:59:44,1.849,GB
2024-04-02 10:59:45,1.85,GB
2024-04-02 10:59:46,1.855,GB
2024-04-02 10:59:47,1.873,GB
2024-04-02 10:59:48,1.875,GB
2024-04-02 10:59:49,1.892,GB
2024-04-02 10:59:50,1.893,GB
2024-04-02 10:59:52,1.895,GB
2024-04-02 10:59:53,1.89,GB
2024-04-02 10:59:54,1.914,GB
2024-04-02 10:59:55,1.94,GB
2024-04-02 10:59:56,1.966,GB
2024-04-02 10:59:57,2.02,GB
2024-04-02 10:59:58,2.073,GB
2024-04-02 10:59:59,2.075,GB
2024-04-02 11:00:00,2.077,GB
2024-04-02 11:00:01,2.079,GB
2024-04-02 11:00:02,2.081,GB
2024-04-02 11:00:03,2.083,GB
2024-04-02 11:00:05,2.085,GB
2024-04-02 11:00:06,2.086,GB
2024-04-02 11:00:07,2.087,GB
2024-04-02 11:00:08,2.088,GB
2024-04-02 11:00:09,2.09,GB
2024-04-02 11:00:10,2.092,GB
2024-04-02 11:00:11,2.093,GB
2024-04-02 11:00:12,2.094,GB
2024-04-02 11:00:13,2.096,GB
2024-04-02 11:00:14,1.943,GB
2024-04-02 11:00:15,1.943,GB
2024-04-02 11:00:16,1.943,GB
2024-04-02 11:00:18,1.943,GB
2024-04-02 11:00:19,1.944,GB
2024-04-02 11:00:20,1.944,GB
2024-04-02 11:00:21,1.944,GB
2024-04-02 11:00:22,1.968,GB
2024-04-02 11:00:23,1.969,GB
2024-04-02 11:00:24,1.97,GB
2024-04-02 11:00:25,1.972,GB
2024-04-02 11:00:26,1.972,GB
2024-04-02 11:00:27,1.976,GB
2024-04-02 11:00:28,1.979,GB
2024-04-02 11:00:29,1.997,GB
2024-04-02 11:00:31,2.035,GB
2024-04-02 11:00:32,2.072,GB
2024-04-02 11:00:33,2.113,GB
2024-04-02 11:00:34,2.153,GB
2024-04-02 11:00:35,2.192,GB
2024-04-02 11:00:36,2.221,GB
2024-04-02 11:00:37,2.243,GB
2024-04-02 11:00:38,2.273,GB
2024-04-02 11:00:39,2.314,GB
2024-04-02 11:00:40,2.351,GB
2024-04-02 11:00:41,2.373,GB
2024-04-02 11:00:43,2.397,GB
2024-04-02 11:00:44,2.435,GB
2024-04-02 11:00:45,2.477,GB
2024-04-02 11:00:46,2.51,GB
2024-04-02 11:00:47,2.55,GB
2024-04-02 11:00:48,2.59,GB
2024-04-02 11:00:49,2.63,GB
2024-04-02 11:00:50,2.67,GB
2024-04-02 11:00:51,2.708,GB
2024-04-02 11:00:52,2.748,GB
2024-04-02 11:00:53,2.787,GB
2024-04-02 11:00:54,2.826,GB
2024-04-02 11:00:56,2.866,GB
2024-04-02 11:00:57,2.906,GB
2024-04-02 11:00:58,2.945,GB
2024-04-02 11:00:59,2.985,GB
2024-04-02 11:01:00,3.026,GB
2024-04-02 11:01:01,3.047,GB
2024-04-02 11:01:02,3.071,GB
2024-04-02 11:01:03,3.111,GB
2024-04-02 11:01:04,3.151,GB
2024-04-02 11:01:05,3.191,GB
2024-04-02 11:01:06,3.231,GB
2024-04-02 11:01:07,3.272,GB
2024-04-02 11:01:08,3.296,GB
2024-04-02 11:01:10,3.32,GB
2024-04-02 11:01:11,3.359,GB
2024-04-02 11:01:12,3.4,GB
2024-04-02 11:01:13,3.441,GB
2024-04-02 11:01:14,3.482,GB
2024-04-02 11:01:15,3.521,GB
2024-04-02 11:01:16,3.547,GB
2024-04-02 11:01:17,3.567,GB
2024-04-02 11:01:18,3.589,GB
2024-04-02 11:01:19,3.611,GB
2024-04-02 11:01:20,3.631,GB
2024-04-02 11:01:21,3.702,GB
2024-04-02 11:01:23,3.673,GB
2024-04-02 11:01:24,3.693,GB
2024-04-02 11:01:25,3.731,GB
2024-04-02 11:01:26,3.769,GB
2024-04-02 11:01:27,3.807,GB
2024-04-02 11:01:28,3.848,GB
2024-04-02 11:01:29,3.887,GB
2024-04-02 11:01:30,3.926,GB
2024-04-02 11:01:31,3.965,GB
2024-04-02 11:01:32,4.004,GB
2024-04-02 11:01:33,4.041,GB
2024-04-02 11:01:35,4.081,GB
2024-04-02 11:01:36,4.108,GB
2024-04-02 11:01:37,4.128,GB
2024-04-02 11:01:38,4.16,GB
2024-04-02 11:01:39,4.188,GB
2024-04-02 11:01:40,4.209,GB
2024-04-02 11:01:41,4.239,GB
2024-04-02 11:01:42,4.275,GB
2024-04-02 11:01:43,4.307,GB
2024-04-02 11:01:44,4.326,GB
2024-04-02 11:01:45,4.345,GB
2024-04-02 11:01:46,4.366,GB
2024-04-02 11:01:48,4.399,GB
2024-04-02 11:01:49,4.423,GB
2024-04-02 11:01:50,4.443,GB
2024-04-02 11:01:51,4.463,GB
2024-04-02 11:01:52,4.491,GB
2024-04-02 11:01:53,4.529,GB
2024-04-02 11:01:54,4.567,GB
2024-04-02 11:01:55,4.605,GB
2024-04-02 11:01:56,4.644,GB
2024-04-02 11:01:57,4.682,GB
2024-04-02 11:01:58,4.72,GB
2024-04-02 11:01:59,4.758,GB
2024-04-02 11:02:01,4.796,GB
2024-04-02 11:02:02,4.815,GB
2024-04-02 11:02:03,4.838,GB
2024-04-02 11:02:04,4.86,GB
2024-04-02 11:02:05,4.88,GB
2024-04-02 11:02:06,4.907,GB
2024-04-02 11:02:07,4.923,GB
2024-04-02 11:02:08,4.953,GB
2024-04-02 11:02:09,4.99,GB
2024-04-02 11:02:10,5.023,GB
2024-04-02 11:02:11,5.043,GB
2024-04-02 11:02:13,5.061,GB
