timestamp,memory_usage_gb,unit
2024-04-15 12:04:06,2.619,GB
2024-04-15 12:04:10,2.623,GB
2024-04-15 12:04:14,2.61,GB
2024-04-15 12:04:18,2.619,GB
2024-04-15 12:04:22,2.633,GB
2024-04-15 12:04:25,2.653,GB
2024-04-15 12:04:29,2.657,GB
2024-04-15 12:04:33,2.621,GB
2024-04-15 12:04:37,2.633,GB
2024-04-15 12:04:41,2.654,GB
2024-04-15 12:04:44,2.671,GB
2024-04-15 12:04:48,2.663,GB
2024-04-15 12:04:52,2.71,GB
2024-04-15 12:04:56,2.776,GB
2024-04-15 12:05:00,2.805,GB
2024-04-15 12:05:04,2.809,GB
2024-04-15 12:05:07,2.815,GB
2024-04-15 12:05:11,2.817,GB
2024-04-15 12:05:15,2.821,GB
2024-04-15 12:05:19,2.828,GB
2024-04-15 12:05:22,2.831,GB
2024-04-15 12:05:26,2.835,GB
2024-04-15 12:05:30,2.717,GB
2024-04-15 12:05:34,2.764,GB
2024-04-15 12:05:38,2.809,GB
2024-04-15 12:05:41,2.87,GB
2024-04-15 12:05:45,2.875,GB
2024-04-15 12:05:49,2.88,GB
2024-04-15 12:05:53,2.883,GB
2024-04-15 12:05:56,2.885,GB
2024-04-15 12:06:00,2.893,GB
2024-04-15 12:06:04,2.897,GB
2024-04-15 12:06:08,2.9,GB
2024-04-15 12:06:11,2.764,GB
2024-04-15 12:06:15,2.764,GB
2024-04-15 12:06:19,2.767,GB
2024-04-15 12:06:23,2.788,GB
2024-04-15 12:06:27,2.799,GB
2024-04-15 12:06:30,2.812,GB
2024-04-15 12:06:34,2.865,GB
2024-04-15 12:06:38,2.935,GB
2024-04-15 12:06:42,3.004,GB
2024-04-15 12:06:45,3.076,GB
2024-04-15 12:06:49,3.15,GB
2024-04-15 12:06:53,3.222,GB
2024-04-15 12:06:57,3.295,GB
2024-04-15 12:07:00,3.367,GB
2024-04-15 12:07:04,3.438,GB
2024-04-15 12:07:08,3.507,GB
2024-04-15 12:07:12,3.574,GB
2024-04-15 12:07:15,3.644,GB
