timestamp,memory_usage_gb,unit
2024-04-03 10:55:41,1.488,GB
2024-04-03 10:55:43,1.489,GB
2024-04-03 10:55:44,1.459,GB
2024-04-03 10:55:46,1.459,GB
2024-04-03 10:55:47,1.468,GB
2024-04-03 10:55:49,1.429,GB
2024-04-03 10:55:50,1.423,GB
2024-04-03 10:55:52,1.422,GB
2024-04-03 10:55:53,1.423,GB
2024-04-03 10:55:54,1.425,GB
2024-04-03 10:55:56,1.43,GB
2024-04-03 10:55:57,1.435,GB
2024-04-03 10:55:59,1.441,GB
2024-04-03 10:56:00,1.446,GB
2024-04-03 10:56:01,1.451,GB
2024-04-03 10:56:03,1.457,GB
2024-04-03 10:56:04,1.461,GB
2024-04-03 10:56:06,1.467,GB
2024-04-03 10:56:07,1.472,GB
2024-04-03 10:56:08,1.477,GB
2024-04-03 10:56:10,1.481,GB
2024-04-03 10:56:11,1.486,GB
2024-04-03 10:56:13,1.49,GB
2024-04-03 10:56:14,1.495,GB
2024-04-03 10:56:15,1.525,GB
2024-04-03 10:56:17,1.52,GB
2024-04-03 10:56:18,1.521,GB
2024-04-03 10:56:20,1.526,GB
2024-04-03 10:56:21,1.528,GB
2024-04-03 10:56:22,1.528,GB
2024-04-03 10:56:24,1.474,GB
2024-04-03 10:56:25,1.473,GB
2024-04-03 10:56:27,1.476,GB
2024-04-03 10:56:28,1.488,GB
2024-04-03 10:56:29,1.513,GB
2024-04-03 10:56:31,1.536,GB
2024-04-03 10:56:32,1.585,GB
2024-04-03 10:56:33,1.598,GB
2024-04-03 10:56:35,1.601,GB
2024-04-03 10:56:36,1.604,GB
2024-04-03 10:56:38,1.606,GB
2024-04-03 10:56:39,1.61,GB
2024-04-03 10:56:40,1.611,GB
2024-04-03 10:56:42,1.613,GB
2024-04-03 10:56:43,1.615,GB
2024-04-03 10:56:45,1.616,GB
2024-04-03 10:56:46,1.623,GB
2024-04-03 10:56:47,1.625,GB
2024-04-03 10:56:49,1.626,GB
2024-04-03 10:56:50,1.628,GB
2024-04-03 10:56:51,1.63,GB
2024-04-03 10:56:53,1.632,GB
2024-04-03 10:56:54,1.519,GB
2024-04-03 10:56:55,1.516,GB
2024-04-03 10:56:57,1.518,GB
