id_scenario,id_region,id_sector,id_subsector,year,id_energy_carrier,energy_consumption,end_use
1,9010101,3,31,2019,6.0,564911.1536723978,space_heating
1,9010101,3,31,2019,6.0,609116.1403499047,space_heating
1,9010101,3,31,2019,12.0,510208.86673695047,space_heating
1,9010101,3,31,2019,12.0,753611.2785298191,space_heating
1,9010101,3,31,2019,2.0,154198.39346583345,space_heating
1,9010101,3,31,2019,6.0,580828.5844857612,space_heating
1,9010101,3,31,2019,2.0,200029.7770640071,space_heating
1,9010101,3,31,2019,6.0,576568.0908250071,space_heating
1,9010101,3,31,2019,12.0,441350.9584176453,space_heating
1,9010101,3,31,2019,19.0,210565.1968776089,space_heating
1,9010101,3,31,2019,2.0,365260.6330230039,space_heating
1,9010101,3,31,2019,12.0,364815.3213384766,space_heating
1,9010101,3,31,2019,12.0,425330.5183099952,space_heating
1,9010101,3,31,2019,12.0,381028.810425087,space_heating
1,9010101,3,31,2019,1.0,104321.9210067678,space_heating
1,9010101,3,31,2019,12.0,361293.6810620196,space_heating
1,9010101,3,31,2019,12.0,346952.01552971866,space_heating
1,9010101,3,31,2019,12.0,308185.78545527835,space_heating
1,9010101,3,31,2019,12.0,310149.14614130696,space_heating
1,9010101,3,31,2019,2.0,329066.4103715412,space_heating
1,9010101,3,31,2019,2.0,271069.5522422191,space_heating
1,9010101,3,31,2019,6.0,371219.6531772493,space_heating
1,9010101,3,31,2019,6.0,322448.94051931595,space_heating
1,9010101,3,31,2019,12.0,354600.70502825547,space_heating
1,9010101,3,31,2019,12.0,399872.6056687953,space_heating
1,9010101,3,31,2019,6.0,291153.88830097654,space_heating
1,9010101,3,31,2019,12.0,288767.5561547089,space_heating
1,9010101,3,31,2019,12.0,313991.6870922868,space_heating
1,9010101,3,31,2019,19.0,275630.963063608,space_heating
1,9010101,3,32,2019,6.0,75130.48188548247,space_heating
1,9010101,3,32,2019,6.0,90484.22514820176,space_heating
1,9010101,3,32,2019,6.0,60069.27061920681,space_heating
1,9010101,3,32,2019,1.0,18164.295012074537,space_heating
1,9010101,3,32,2019,6.0,58520.28484407016,space_heating
1,9010101,3,32,2019,6.0,64579.647347590486,space_heating
1,9010101,3,32,2019,2.0,77188.9139716737,space_heating
1,9010101,3,32,2019,12.0,90100.63385182802,space_heating
1,9010101,3,32,2019,6.0,65830.20965535137,space_heating
1,9010101,3,32,2019,6.0,56296.74894348589,space_heating
1,9010101,3,32,2019,12.0,61366.71549034765,space_heating
1,9010101,3,32,2019,6.0,60754.77162485782,space_heating
1,9010101,3,32,2019,12.0,100273.66941371464,space_heating
1,9010101,3,32,2019,1.0,23580.83030969952,space_heating
1,9010101,3,32,2019,12.0,90137.6578646197,space_heating
1,9010101,3,32,2019,1.0,20967.00964455748,space_heating
1,9010101,3,32,2019,12.0,63098.30692188323,space_heating
1,9010101,3,32,2019,2.0,79240.80006248846,space_heating
1,9010101,3,32,2019,1.0,25189.691935064395,space_heating
1,9010101,3,32,2019,12.0,64234.18461907211,space_heating
1,9010101,3,32,2019,6.0,65588.50924415932,space_heating
1,9010101,3,32,2019,2.0,95307.38899964132,space_heating
1,9010101,3,32,2019,12.0,86333.01914766281,space_heating
1,9010101,3,32,2019,2.0,74905.73089282506,space_heating
1,9010101,3,32,2019,13.0,73879.19569556531,space_heating
