id_sector,sector,id_subsector,subsector,id_energy_carrier,energy_carrier,id_end_use,end_use,id_end_use_level2,end_use_level2,year,unit,value
3,GHD & Industry,31,agriculture,1,Electricity,2,space cooling,8,space_cooling,2020,kWh,570233216.1
3,GHD & Industry,31,agriculture,2,Light fuel oil,1,appliance,1,lighting,2020,kWh,0
3,GHD & Industry,31,agriculture,2,Light fuel oil,1,appliance,2,ICT,2020,kWh,0
3,GHD & Industry,31,agriculture,2,Light fuel oil,1,appliance,3,mechanical_energy,2020,kWh,28086614711
3,GHD & Industry,31,agriculture,2,Light fuel oil,4,domestic hot water,4,hot_water,2020,kWh,26776528.84
3,GHD & Industry,31,agriculture,2,Light fuel oil,1,appliance,5,process_heating,2020,kWh,139832711.9
3,GHD & Industry,31,agriculture,2,Light fuel oil,3,space heating,6,space_heating,2020,kWh,5594403177
3,GHD & Industry,31,agriculture,2,Light fuel oil,1,appliance,7,process_cooling,2020,kWh,0
3,GHD & Industry,31,agriculture,2,Light fuel oil,2,space cooling,8,space_cooling,2020,kWh,0
3,GHD & Industry,31,agriculture,3,Hard coal,1,appliance,1,lighting,2020,kWh,0
3,GHD & Industry,31,agriculture,3,Hard coal,1,appliance,2,ICT,2020,kWh,0
3,GHD & Industry,31,agriculture,3,Hard coal,1,appliance,3,mechanical_energy,2020,kWh,0
3,GHD & Industry,31,agriculture,3,Hard coal,4,domestic hot water,4,hot_water,2020,kWh,0
3,GHD & Industry,31,agriculture,3,Hard coal,1,appliance,5,process_heating,2020,kWh,0
3,GHD & Industry,31,agriculture,3,Hard coal,3,space heating,6,space_heating,2020,kWh,16955277.78
3,GHD & Industry,31,agriculture,3,Hard coal,1,appliance,7,process_cooling,2020,kWh,0
3,GHD & Industry,31,agriculture,3,Hard coal,2,space cooling,8,space_cooling,2020,kWh,0
3,GHD & Industry,31,agriculture,6,Natural Gas,1,appliance,1,lighting,2020,kWh,0
3,GHD & Industry,31,agriculture,6,Natural Gas,1,appliance,2,ICT,2020,kWh,0
3,GHD & Industry,31,agriculture,6,Natural Gas,1,appliance,3,mechanical_energy,2020,kWh,0
3,GHD & Industry,31,agriculture,6,Natural Gas,4,domestic hot water,4,hot_water,2020,kWh,237125927.2
3,GHD & Industry,31,agriculture,6,Natural Gas,1,appliance,5,process_heating,2020,kWh,356579393.1
3,GHD & Industry,31,agriculture,6,Natural Gas,3,space heating,6,space_heating,2020,kWh,6749306873
3,GHD & Industry,31,agriculture,6,Natural Gas,1,appliance,7,process_cooling,2020,kWh,0
3,GHD & Industry,31,agriculture,6,Natural Gas,2,space cooling,8,space_cooling,2020,kWh,0
3,GHD & Industry,31,agriculture,12,Biomass solid,1,appliance,1,lighting,2020,kWh,0
3,GHD & Industry,31,agriculture,12,Biomass solid,1,appliance,2,ICT,2020,kWh,0
3,GHD & Industry,31,agriculture,12,Biomass solid,1,appliance,3,mechanical_energy,2020,kWh,2946556686
3,GHD & Industry,31,agriculture,12,Biomass solid,4,domestic hot water,4,hot_water,2020,kWh,230101499.2
3,GHD & Industry,31,agriculture,12,Biomass solid,1,appliance,5,process_heating,2020,kWh,0
3,GHD & Industry,31,agriculture,12,Biomass solid,3,space heating,6,space_heating,2020,kWh,22956928752
3,GHD & Industry,31,agriculture,12,Biomass solid,1,appliance,7,process_cooling,2020,kWh,0
3,GHD & Industry,31,agriculture,12,Biomass solid,2,space cooling,8,space_cooling,2020,kWh,0
3,GHD & Industry,31,agriculture,13,District heating,1,appliance,1,lighting,2020,kWh,0
3,GHD & Industry,31,agriculture,13,District heating,1,appliance,2,ICT,2020,kWh,0
3,GHD & Industry,31,agriculture,13,District heating,1,appliance,3,mechanical_energy,2020,kWh,0
3,GHD & Industry,31,agriculture,13,District heating,4,domestic hot water,4,hot_water,2020,kWh,553410.0486
3,GHD & Industry,31,agriculture,13,District heating,1,appliance,5,process_heating,2020,kWh,2276.50558
3,GHD & Industry,31,agriculture,13,District heating,3,space heating,6,space_heating,2020,kWh,0
3,GHD & Industry,31,agriculture,13,District heating,1,appliance,7,process_cooling,2020,kWh,0
3,GHD & Industry,31,agriculture,13,District heating,2,space cooling,8,space_cooling,2020,kWh,0
3,GHD & Industry,31,agriculture,24,Renewables,1,appliance,1,lighting,2020,kWh,0
3,GHD & Industry,31,agriculture,24,Renewables,1,appliance,2,ICT,2020,kWh,0
3,GHD & Industry,31,agriculture,24,Renewables,1,appliance,3,mechanical_energy,2020,kWh,0
3,GHD & Industry,31,agriculture,24,Renewables,4,domestic hot water,4,hot_water,2020,kWh,11211924.06
3,GHD & Industry,31,agriculture,24,Renewables,1,appliance,5,process_heating,2020,kWh,0
3,GHD & Industry,31,agriculture,24,Renewables,3,space heating,6,space_heating,2020,kWh,154180270.3
3,GHD & Industry,31,agriculture,24,Renewables,1,appliance,7,process_cooling,2020,kWh,0
3,GHD & Industry,31,agriculture,24,Renewables,2,space cooling,8,space_cooling,2020,kWh,0
3,GHD & Industry,31,agriculture,1,Electricity,1,appliance,1,lighting,2021,kWh,1927090916
3,GHD & Industry,31,agriculture,1,Electricity,1,appliance,2,ICT,2021,kWh,379565971.1
3,GHD & Industry,31,agriculture,1,Electricity,1,appliance,3,mechanical_energy,2021,kWh,2045696148
3,GHD & Industry,31,agriculture,1,Electricity,4,domestic hot water,4,hot_water,2021,kWh,72074954.36
3,GHD & Industry,31,agriculture,1,Electricity,1,appliance,5,process_heating,2021,kWh,167423961.5
3,GHD & Industry,31,agriculture,1,Electricity,3,space heating,6,space_heating,2021,kWh,359539424.1
3,GHD & Industry,31,agriculture,1,Electricity,1,appliance,7,process_cooling,2021,kWh,25020187.52
