id_region,id_sector,id_energy_carrier,year,unit,value
911,3,3,2021,TWh,0.00015365
911,3,2,2021,TWh,1.866944444
911,3,2,2021,TWh,0.888055556
911,3,2,2021,TWh,0.170277778
911,3,6,2021,TWh,8.593888889
911,3,14,2021,TWh,0.0175
911,3,12,2021,TWh,1.221666667
911,3,24,2021,TWh,0.102222222
911,3,1,2021,TWh,5.465
911,3,13,2021,TWh,1.703888889
911,6,3,2021,TWh,0.169722222
911,6,2,2021,TWh,0.071944444
911,6,2,2021,TWh,8.699444444
911,6,7,2021,TWh,0.023611111
911,6,2,2021,TWh,0.659722222
911,6,6,2021,TWh,15.87527778
911,6,14,2021,TWh,0.4025
911,6,12,2021,TWh,4.859722222
911,6,24,2021,TWh,1.037222222
911,6,1,2021,TWh,7.3625
911,6,13,2021,TWh,0.862777778
902,3&6,3,2021,TWh,0.391111111
902,3&6,2,2021,TWh,6.777222222
902,3&6,2,2021,TWh,29.12861111
902,3&6,7,2021,TWh,0.064722222
902,3&6,2,2021,TWh,2.601944444
902,3&6,6,2021,TWh,54.75
902,3&6,12,2021,TWh,33.52361111
902,3&6,24,2021,TWh,6.068611111
902,3&6,1,2021,TWh,41.79526957
902,3&6,13,2021,TWh,12.57869383
903,6,3,2021,TWh,0.135933333
903,6,2,2021,TWh,0.008980278
903,6,2,2021,TWh,2.096389167
903,6,7,2021,TWh,0.005659722
903,6,2,2021,TWh,0.135582778
903,6,6,2021,TWh,5.878600833
903,6,14,2021,TWh,0.028741944
903,6,12,2021,TWh,0.156350556
903,6,24,2021,TWh,0.196345278
903,6,1,2021,TWh,4.126433889
903,6,13,2021,TWh,6.369133333
903,3,2,2021,TWh,0.398055556
903,3,2,2021,TWh,1.261138056
903,3,2,2021,TWh,0.047163333
903,3,6,2021,TWh,7.671588056
903,3,14,2021,TWh,0.001258056
903,3,12,2021,TWh,0.108611111
903,3,24,2021,TWh,0.018240833
903,3,1,2021,TWh,5.714338611
903,3,13,2021,TWh,5.425558056
904,6,3,2021,TWh,0.416268056
904,6,2,2021,TWh,0.038914444
904,6,2,2021,TWh,2.08015
904,6,7,2021,TWh,0.005615833
904,6,2,2021,TWh,0.460831944
904,6,6,2021,TWh,9.321235556
904,6,14,2021,TWh,0.148499722
904,6,12,2021,TWh,1.347648611
904,6,24,2021,TWh,0.633418611
904,6,1,2021,TWh,4.057094722
904,6,13,2021,TWh,2.597133889
904,3,2,2021,TWh,1.391944444
904,3,2,2021,TWh,1.202896667
904,3,2,2021,TWh,0.138538611
904,3,6,2021,TWh,3.683495556
904,3,14,2021,TWh,0.006500278
904,3,12,2021,TWh,0.557802222
904,3,24,2021,TWh,0.058846111
904,3,1,2021,TWh,3.319103056
