id_scenario,id_region,id_sector,id_subsector,year,population,
1,9,3,31,2010,904109.2695,
1,9,3,31,2011,904109.2695,
1,9,3,31,2012,904109.2695,
1,9,3,31,2013,904109.2695,
1,9,3,31,2014,904109.2695,
1,9,3,31,2015,904109.2695,
1,9,3,31,2016,904299.2331,
1,9,3,31,2017,904299.2331,
1,9,3,31,2018,904346.8021,
1,9,3,31,2019,904346.8021,
1,9,3,31,2020,904346.8021,
1,9,3,31,2021,906962.2715,
1,9,3,31,2022,907721.9579,
1,9,3,31,2023,907721.9579,
1,9,3,31,2024,907721.9579,
1,9,3,31,2025,907721.9579,
1,9,3,31,2026,907721.9579,
1,9,3,31,2027,908573.1242,
1,9,3,31,2028,909092.0317,
1,9,3,31,2029,909092.0317,
1,9,3,31,2030,909092.0317,
1,9,3,31,2031,909092.0317,
1,9,3,31,2032,909092.0317,
1,9,3,31,2033,909092.0317,
1,9,3,31,2034,909281.435,
1,9,3,31,2035,909281.435,
1,9,3,31,2036,909281.435,
1,9,3,31,2037,909281.435,
1,9,3,31,2038,909281.435,
1,9,3,31,2039,909328.8055,
1,9,3,31,2040,909328.8055,
1,9,3,31,2041,909328.8055,
1,9,3,31,2042,909328.8055,
1,9,3,31,2043,909328.8055,
1,9,3,31,2044,910704.5964,
1,9,3,31,2045,910704.5964,
1,9,3,31,2046,910704.5964,
1,9,3,31,2047,910704.5964,
1,9,3,31,2048,910364.7014,
1,9,3,31,2049,910412.0719,
1,9,3,31,2050,910412.0719,
1,9,3,31,2051,910412.0719,
1,9,3,32,2010,10263654.88,
1,9,3,32,2011,10263006.52,
1,9,3,32,2012,10262873.33,
1,9,3,32,2013,10255777.88,
1,9,3,32,2014,10252496.64,
1,9,3,32,2015,10245061.44,
1,9,3,32,2016,10237708.92,
1,9,3,32,2017,10231443.66,
1,9,3,32,2018,10228031.26,
1,9,3,32,2019,10226064.85,
1,9,3,32,2020,10224390.43,
1,9,3,32,2021,10212644.2,
1,9,3,32,2022,10210591.46,
1,9,3,32,2023,10208874.81,
1,9,3,32,2024,10207771.13,
1,9,3,32,2025,10201547.83,
1,9,3,32,2026,10197633.16,
1,9,3,32,2027,10181087.82,
1,9,3,32,2028,10178433.32,
1,9,3,32,2029,10174592.58,
1,9,3,32,2030,10172478.22,
1,9,3,32,2031,10166592.95,
1,9,3,32,2032,10165987.61,
1,9,3,32,2033,10161547.13,
1,9,3,32,2034,10157550.13,
1,9,3,32,2035,10154314.52,
1,9,3,32,2036,10147254.01,
1,9,3,32,2037,10139361.1,
1,9,3,32,2038,10135890.3,
1,9,3,32,2039,10131446.86,
1,9,3,32,2040,10126587.37,
1,9,3,32,2041,10118566.71,
1,9,3,32,2042,10110445.72,
1,9,3,32,2043,10101447.36,
1,9,3,32,2044,10091401.69,
1,9,3,32,2045,10079522.72,
1,9,3,32,2046,10073492.71,
1,9,3,32,2047,10065061.15,
1,9,3,32,2048,9997145.839,
1,9,3,32,2049,9989568.971,
1,9,3,32,2050,9982786.103,
1,9,3,32,2051,9976816.121,
1,9,3,33,2010,2407028.798,
1,9,3,33,2011,2406836.906,
1,9,3,33,2012,2406723.469,
1,9,3,33,2013,2406048.122,
1,9,3,33,2014,2405693.869,
1,9,3,33,2015,2404808.823,
1,9,3,33,2016,2403751.255,
1,9,3,33,2017,2403247.461,
1,9,3,33,2018,2402924.064,
1,9,3,33,2019,2402539.196,
1,9,3,33,2020,2401811.539,
1,9,3,33,2021,2401213.96,
1,9,3,33,2022,2400707.833,
1,9,3,33,2023,2400105.848,
1,9,3,33,2024,2399533.24,
1,9,3,33,2025,2398866.295,
1,9,3,33,2026,2398316.897,
1,9,3,33,2027,2397644.828,
1,9,3,33,2028,2396652.675,
1,9,3,33,2029,2395946.797,
1,9,3,33,2030,2395241.713,
1,9,3,33,2031,2394288.771,
1,9,3,33,2032,2393870.659,
1,9,3,33,2033,2393389.897,
1,9,3,33,2034,2392842.246,
1,9,3,33,2035,2392455.371,
1,9,3,33,2036,2391746.235,
1,9,3,33,2037,2391117.151,
1,9,3,33,2038,2389332.472,
1,9,3,33,2039,2388409.655,
1,9,3,33,2040,2386651.988,
1,9,3,33,2041,2385911.769,
1,9,3,33,2042,2384323.197,
1,9,3,33,2043,2383306.762,
1,9,3,33,2044,2381867.964,
1,9,3,33,2045,2380517.121,
1,9,3,33,2046,2379586.545,
1,9,3,33,2047,2378921.231,
1,9,3,33,2048,2364908.67,
1,9,3,33,2049,2363557.263,
1,9,3,33,2050,2362033.457,
1,9,3,33,2051,2360597.074,
1,9,3,34,2010,4247362.185,
1,9,3,34,2011,4245378.574,
1,9,3,34,2012,4244528.671,
1,9,3,34,2013,4242754.41,
1,9,3,34,2014,4241516.34,
1,9,3,34,2015,4239154.608,
1,9,3,34,2016,4237631.069,
1,9,3,34,2017,4235508.194,
1,9,3,34,2018,4233820.689,
1,9,3,34,2019,4232456.702,
1,9,3,34,2020,4230573.309,
1,9,3,34,2021,4228770.242,
1,9,3,34,2022,4227373.224,
1,9,3,34,2023,4224801.111,
1,9,3,34,2024,4222054.364,
1,9,3,34,2025,4219931.484,
1,9,3,34,2026,4217156.236,
1,9,3,34,2027,4215390.023,
1,9,3,34,2028,4213295.663,
1,9,3,34,2029,4210857.037,
1,9,3,34,2030,4208876.171,
1,9,3,34,2031,4206245.519,
1,9,3,34,2032,4203961.51,
1,9,3,34,2033,4201224.491,
1,9,3,34,2034,4198003.028,
1,9,3,34,2035,4195407.964,
1,9,3,34,2036,4192425.901,
1,9,3,34,2037,4188864.256,
1,9,3,34,2038,4185880.43,
1,9,3,34,2039,4182408.645,
1,9,3,34,2040,4179980.748,
1,9,3,34,2041,4176709.756,
1,9,3,34,2042,4173204.362,
1,9,3,34,2043,4169917.846,
1,9,3,34,2044,4165452.894,
1,9,3,34,2045,4161344.991,
1,9,3,34,2046,4158369.824,
1,9,3,34,2047,4154335.847,
1,9,3,34,2048,4125773.238,
1,9,3,34,2049,4121922.517,
1,9,3,34,2050,4116992.177,
1,9,3,34,2051,4112641.455,
1,9,3,35,2010,1027286.845,
1,9,3,35,2011,1026714.026,
1,9,3,35,2012,1026226.48,
1,9,3,35,2013,1024797.325,
1,9,3,35,2014,1024431.036,
1,9,3,35,2015,1024380.882,
1,9,3,35,2016,1023977.642,
1,9,3,35,2017,1023904.988,
1,9,3,35,2018,1023024.965,
1,9,3,35,2019,1022180.871,
1,9,3,35,2020,1021481.285,
1,9,3,35,2021,1020354.209,
1,9,3,35,2022,1019864.767,
1,9,3,35,2023,1019294.068,
1,9,3,35,2024,1018669.338,
1,9,3,35,2025,1018169.564,
1,9,3,35,2026,1017477.915,
1,9,3,35,2027,1017073.942,
1,9,3,35,2028,1016877.545,
1,9,3,35,2029,1016463.472,
1,9,3,35,2030,1015596.588,
1,9,3,35,2031,1014717.459,
1,9,3,35,2032,1013953.845,
1,9,3,35,2033,1013207.794,
