id_region,id_sector,id_subsector,id_end_use,id_energy_carrier,unit,year,value
9,3,31,1,1,kWh/person,2038,4449.409858
9,3,31,1,1,kWh/person,2039,4423.034458
9,3,31,1,1,kWh/person,2040,4390.976776
9,3,31,1,1,kWh/person,2041,4364.61725
9,3,31,1,1,kWh/person,2042,4319.838511
9,3,31,1,1,kWh/person,2043,4307.183792
9,3,31,1,1,kWh/person,2044,4282.562347
9,3,31,1,1,kWh/person,2045,4273.662808
9,3,31,1,1,kWh/person,2046,4259.724301
9,3,31,1,1,kWh/person,2047,4241.296698
9,3,31,1,1,kWh/person,2048,4233.334794
9,3,31,1,1,kWh/person,2049,4218.66212
9,3,31,1,1,kWh/person,2050,4214.465615
9,3,31,1,2,kWh/person,2010,32068.32801
9,3,31,1,2,kWh/person,2011,31856.5753
9,3,31,1,2,kWh/person,2012,31644.82259
9,3,31,1,2,kWh/person,2013,31433.06988
9,3,31,1,2,kWh/person,2014,31221.31717
9,3,31,1,2,kWh/person,2015,31009.56446
9,3,31,1,2,kWh/person,2016,30791.34214
9,3,31,1,2,kWh/person,2017,30579.63391
9,3,31,1,2,kWh/person,2018,30366.32832
9,3,31,1,2,kWh/person,2019,30154.63122
9,3,31,1,2,kWh/person,2020,29572.49333
9,3,31,1,2,kWh/person,2021,29207.4238
9,3,31,1,2,kWh/person,2022,28929.36144
9,3,31,1,2,kWh/person,2023,28644.33728
9,3,31,1,2,kWh/person,2024,28411.48093
9,3,31,1,2,kWh/person,2025,28189.26144
9,3,31,1,2,kWh/person,2026,27959.71593
9,3,31,1,2,kWh/person,2027,27701.45783
9,3,31,1,2,kWh/person,2028,27460.75434
9,3,31,1,2,kWh/person,2029,27242.55288
9,3,31,1,2,kWh/person,2030,27068.8387
9,3,31,1,2,kWh/person,2031,26725.06961
9,3,31,1,2,kWh/person,2032,26557.78288
9,3,31,1,2,kWh/person,2033,26394.47638
9,3,31,1,2,kWh/person,2034,26226.1958
9,3,31,1,2,kWh/person,2035,26063.25215
9,3,31,1,2,kWh/person,2036,25913.89857
9,3,31,1,2,kWh/person,2037,25746.31863
9,3,31,1,2,kWh/person,2038,25571.36029
9,3,31,1,2,kWh/person,2039,25393.11875
9,3,31,1,2,kWh/person,2040,25232.71578
9,3,31,1,2,kWh/person,2041,25064.60045
9,3,31,1,2,kWh/person,2042,24735.95692
9,3,31,1,2,kWh/person,2043,24581.7578
9,3,31,1,2,kWh/person,2044,24372.97611
9,3,31,1,2,kWh/person,2045,24221.46686
9,3,31,1,2,kWh/person,2046,24057.5664
9,3,31,1,2,kWh/person,2047,23910.37802
9,3,31,1,2,kWh/person,2048,23754.91922
9,3,31,1,2,kWh/person,2049,23603.70556
9,3,31,1,2,kWh/person,2050,23434.84861
9,3,31,1,6,kWh/person,2010,415.4882002
9,3,31,1,6,kWh/person,2011,413.2777787
9,3,31,1,6,kWh/person,2012,411.0673572
9,3,31,1,6,kWh/person,2013,408.8569357
9,3,31,1,6,kWh/person,2014,406.6465143
9,3,31,1,6,kWh/person,2015,404.4360928
